NTA,NTA_Name,Percentage with A/C
BK09,Brooklyn Heights-Cobble Hill,0.875
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,0.7055538161428336
BK19,Brighton Beach,0.8449181133311496
BK21,Seagate-Coney Island,0.8178766808178572
BK23,West Brighton,0.8369981772613352
BK25,Homecrest,0.6421208231221068
BK26,Gravesend,0.8276671245421244
BK27,Bath Beach,0.8848829854522454
BK28,Bensonhurst West,0.7945859680750788
BK29,Bensonhurst East,0.9385713250794081
BK30,Dyker Heights,0.9701415042091271
BK31,Bay Ridge,0.9865254322985135
BK32,Sunset Park West,0.8933410463054732
BK33,Carroll Gardens-Columbia Street-Red Hook,0.7611313287099881
BK34,Sunset Park East,0.8970175998864524
BK35,Stuyvesant Heights,0.7954715901308366
BK37,Park Slope-Gowanus,0.9108564088204109
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.8062842210054754
BK40,Windsor Terrace,0.7795061728395062
BK41,Kensington-Ocean Parkway,0.8806818181818181
BK42,Flatbush,0.7397866150171024
BK43,Midwood,0.544384930394934
BK44,Madison,0.8186943080560102
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,0.8516908940295965
BK46,Ocean Parkway South,0.18604651162790697
BK50,Canarsie,0.867943703120258
BK58,Flatlands,0.7148962148962149
BK60,Prospect Lefferts Gardens-Wingate,0.9147132778711726
BK61,Crown Heights North,0.6601999397646943
BK63,Crown Heights South,0.6288871405150475
BK64,Prospect Heights,0.24874551971326164
BK68,Fort Greene,0.62583823678564
BK69,Clinton Hill,0.617959075807913
BK72,Williamsburg,0.9241453900709221
BK73,North Side-South Side,0.8677937547687903
BK75,Bedford,0.7244804120491335
BK76,Greenpoint,0.8773148148148149
BK77,Bushwick North,0.6840491592646372
BK78,Bushwick South,0.6141581914619462
BK79,Ocean Hill,0.8357553949861642
BK81,Brownsville,0.8862864573861405
BK82,East New York,0.7372806015498271
BK83,Cypress Hills-City Line,0.6803892339544514
BK85,East New York (Pennsylvania Ave),0.791607395245129
BK88,Borough Park,0.8086051099970206
